,Open Int,time to maturity (years),moneyness,inv_spread
2147,203,0.021917808219178082,0.8882113821138211,10.0
831,799,0.0027397260273972603,0.9651060070671378,10.0
835,1429,0.0027397260273972603,0.9634038800705468,10.0
839,817,0.0027397260273972603,0.9617077464788732,10.0
827,2600,0.0027397260273972603,0.9668141592920354,10.0
2139,128,0.021917808219178082,0.8954918032786885,10.0
851,456,0.0027397260273972603,0.9566549912434326,10.0
2135,10,0.021917808219178082,0.8984375,10.0
859,973,0.0027397260273972603,0.9533158813263525,10.0
2129,272,0.021917808219178082,0.9028925619834711,10.0
847,2225,0.0027397260273972603,0.9583333333333334,10.0
2133,130,0.021917808219178082,0.8999176276771005,10.0
5833,249,0.07945205479452055,0.8810483870967742,9.999999999999996
3201,1553,0.0410958904109589,0.9258474576271186,9.999999999999996
5825,27,0.07945205479452055,0.8867694805194806,9.999999999999996
5829,320,0.07945205479452055,0.8838996763754046,9.999999999999996
5777,273,0.07945205479452055,0.9058872305140961,9.999999999999991
2051,563,0.021917808219178082,0.9651060070671378,6.6666666666666705
1645,51,0.01643835616438356,0.9771914132379249,6.6666666666666705
5717,263,0.07945205479452055,0.9321672354948806,6.6666666666666705
2779,235,0.03561643835616438,0.9434369602763385,6.6666666666666705
5765,2112,0.07945205479452055,0.9104166666666667,6.6666666666666705
1313,62,0.0136986301369863,0.9737076648841355,6.6666666666666705
5729,120,0.07945205479452055,0.9274193548387096,6.6666666666666705
2043,437,0.021917808219178082,0.9719750889679716,6.6666666666666705
1309,117,0.0136986301369863,0.9771914132379249,6.6666666666666705
1649,639,0.01643835616438356,0.9737076648841355,6.6666666666666705
2753,2168,0.03561643835616438,0.9651060070671378,6.6666666666666705
1647,359,0.01643835616438356,0.9754464285714286,6.6666666666666705
5709,262,0.07945205479452055,0.9353595890410958,6.6666666666666705
5737,298,0.07945205479452055,0.9242808798646363,6.6666666666666705
4243,121,0.06027397260273973,0.9134615384615384,6.6666666666666705
4221,60,0.06027397260273973,0.9305792163543442,6.6666666666666705
5745,299,0.07945205479452055,0.9180672268907563,6.6666666666666705
5749,457,0.07945205479452055,0.9165268456375839,6.6666666666666705
2763,6554,0.03561643835616438,0.9566549912434326,6.6666666666666705
1667,1706,0.01643835616438356,0.9583333333333334,6.666666666666668
1321,1819,0.0136986301369863,0.9668141592920354,6.666666666666668
7627,1,0.15616438356164383,0.853515625,6.666666666666668
5845,78,0.07945205479452055,0.874,6.666666666666668
2807,388,0.03561643835616438,0.9196127946127947,6.666666666666668
5849,162,0.07945205479452055,0.8726038338658147,6.666666666666668
4249,133,0.06027397260273973,0.907392026578073,6.666666666666668
5809,83,0.07945205479452055,0.894026186579378,6.666666666666668
2805,168,0.03561643835616438,0.9227195945945946,6.666666666666668
5805,689,0.07945205479452055,0.8954918032786885,6.666666666666668
2061,494,0.021917808219178082,0.9566549912434326,6.666666666666668
1669,27,0.01643835616438356,0.9566549912434326,6.666666666666668
3191,5566,0.0410958904109589,0.9337606837606838,6.666666666666668
2075,5737,0.021917808219178082,0.9450692041522492,6.666666666666668
3213,100,0.0410958904109589,0.9165268456375839,6.666666666666668
3215,193,0.0410958904109589,0.9149916247906198,6.666666666666668
2079,4713,0.021917808219178082,0.9418103448275862,6.666666666666668
3217,55,0.0410958904109589,0.9134615384615384,6.666666666666668
5841,56,0.07945205479452055,0.8754006410256411,6.666666666666668
2465,3,0.030136986301369864,0.9028925619834711,6.666666666666667
1703,439,0.01643835616438356,0.9289965986394558,6.666666666666667
1705,15,0.01643835616438356,0.9274193548387096,6.666666666666667
2453,14,0.030136986301369864,0.9227195945945946,6.666666666666667
1673,973,0.01643835616438356,0.9533158813263525,6.666666666666667
1683,5035,0.01643835616438356,0.9450692041522492,6.666666666666667
1681,272,0.01643835616438356,0.9467071057192374,6.666666666666667
1671,1944,0.01643835616438356,0.9549825174825175,6.666666666666667
1701,9,0.01643835616438356,0.9305792163543442,6.666666666666667
2123,19,0.021917808219178082,0.907392026578073,6.666666666666667
2113,139,0.021917808219178082,0.9149916247906198,6.666666666666667
1325,999,0.0136986301369863,0.9634038800705468,6.666666666666667
2111,55,0.021917808219178082,0.9165268456375839,6.666666666666667
1329,145,0.0136986301369863,0.9600175746924429,6.666666666666667
4535,5,0.0684931506849315,0.8276515151515151,6.666666666666667
1345,117,0.0136986301369863,0.9467071057192374,6.666666666666667
1347,153,0.0136986301369863,0.9450692041522492,6.666666666666667
2121,27,0.021917808219178082,0.9089018302828619,6.666666666666667
2117,57,0.021917808219178082,0.9119365609348915,6.666666666666667
2119,2358,0.021917808219178082,0.9104166666666667,6.666666666666667
1349,490,0.0136986301369863,0.9434369602763385,6.666666666666667
2115,441,0.021917808219178082,0.9134615384615384,6.666666666666667
3221,2834,0.0410958904109589,0.9104166666666667,6.666666666666667
2083,704,0.021917808219178082,0.938573883161512,6.666666666666667
4265,162,0.06027397260273973,0.8403846153846154,6.666666666666667
3237,3,0.0410958904109589,0.8984375,6.666666666666667
7057,70,0.11506849315068493,0.8033088235294118,6.666666666666667
6657,5,0.09863013698630137,0.8033088235294118,6.666666666666667
2093,127,0.021917808219178082,0.9305792163543442,6.666666666666667
2091,134,0.021917808219178082,0.9321672354948806,6.666666666666667
2077,586,0.021917808219178082,0.9434369602763385,6.666666666666667
3559,8,0.049315068493150684,0.853515625,6.666666666666667
3557,6,0.049315068493150684,0.8670634920634921,6.666666666666667
3225,113,0.0410958904109589,0.907392026578073,6.666666666666667
3223,25,0.0410958904109589,0.9089018302828619,6.666666666666667
3233,13,0.0410958904109589,0.9014026402640264,6.666666666666667
7053,10,0.11506849315068493,0.8403846153846154,6.666666666666667
2819,205,0.03561643835616438,0.9043874172185431,6.666666666666667
3235,3,0.0410958904109589,0.8999176276771005,6.666666666666667
2817,4,0.03561643835616438,0.907392026578073,6.666666666666667
2815,144,0.03561643835616438,0.9089018302828619,6.666666666666667
2811,125,0.03561643835616438,0.9134615384615384,6.666666666666667
2809,708,0.03561643835616438,0.9165268456375839,6.666666666666667
2081,37840,0.021917808219178082,0.9401893287435457,6.666666666666667
2085,254,0.021917808219178082,0.9369639794168096,6.666666666666667
4261,176,0.06027397260273973,0.8670634920634921,6.666666666666667
5853,76,0.07945205479452055,0.8698248407643312,6.666666666666667
2089,2932,0.021917808219178082,0.9337606837606838,6.666666666666667
5857,298,0.07945205479452055,0.8670634920634921,6.666666666666667
2087,20051,0.021917808219178082,0.9353595890410958,6.666666666666667
5861,1,0.07945205479452055,0.860236220472441,6.666666666666667
823,1550,0.0027397260273972603,0.9685283687943262,6.666666666666666
4251,49,0.06027397260273973,0.9043874172185431,6.666666666666666
2107,167,0.021917808219178082,0.9196127946127947,6.666666666666666
819,390,0.0027397260273972603,0.9702486678507993,6.666666666666666
3245,13,0.0410958904109589,0.8925653594771242,6.666666666666666
2105,53,0.021917808219178082,0.9211635750421585,6.666666666666666
2457,135,0.030136986301369864,0.9180672268907563,6.666666666666666
3247,3,0.0410958904109589,0.8911092985318108,6.666666666666666
3253,8,0.0410958904109589,0.8867694805194806,6.666666666666666
2053,1320,0.021917808219178082,0.9634038800705468,6.666666666666666
3243,6,0.0410958904109589,0.894026186579378,6.666666666666666
1653,177,0.01643835616438356,0.9702486678507993,6.666666666666666
1665,270,0.01643835616438356,0.9600175746924429,6.666666666666666
3185,923,0.0410958904109589,0.938573883161512,6.666666666666666
3209,53,0.0410958904109589,0.9196127946127947,6.666666666666666
3207,1369,0.0410958904109589,0.9211635750421585,6.666666666666666
3203,59,0.0410958904109589,0.9242808798646363,6.666666666666666
3199,350,0.0410958904109589,0.9274193548387096,6.666666666666666
3197,3644,0.0410958904109589,0.9289965986394558,6.666666666666666
3195,191,0.0410958904109589,0.9305792163543442,6.666666666666666
3193,221,0.0410958904109589,0.9321672354948806,6.666666666666666
3189,2040,0.0410958904109589,0.9353595890410958,6.666666666666666
3183,732,0.0410958904109589,0.9401893287435457,6.666666666666666
1663,276,0.01643835616438356,0.9617077464788732,6.666666666666666
5797,89,0.07945205479452055,0.8984375,6.666666666666666
3181,4643,0.0410958904109589,0.9418103448275862,6.666666666666666
2095,533,0.021917808219178082,0.9289965986394558,6.666666666666666
