,Open Int,time to maturity (years),moneyness
8745,10,0.20273972602739726,1.365625
9699,5,0.2876712328767123,1.365625
10877,1,0.5972602739726027,1.365625
11689,99,0.873972602739726,1.365625
6699,40,0.11506849315068493,1.365625
10881,1,0.5972602739726027,1.3487654320987654
11121,2,0.6164383561643836,1.3487654320987654
6701,22,0.11506849315068493,1.3487654320987654
10251,16,0.36712328767123287,1.3487654320987654
10009,15,0.3287671232876712,1.3487654320987654
11455,24,0.8465753424657534,1.3487654320987654
9701,4,0.2876712328767123,1.3487654320987654
7831,1,0.17534246575342466,1.3388480392156863
6705,20,0.11506849315068493,1.3323170731707317
10885,3,0.5972602739726027,1.3323170731707317
10253,7,0.36712328767123287,1.3323170731707317
11123,7,0.6164383561643836,1.3323170731707317
10571,150,0.4547945205479452,1.3323170731707317
10013,1,0.3287671232876712,1.3323170731707317
8749,12,0.20273972602739726,1.3323170731707317
11693,99,0.873972602739726,1.3323170731707317
11459,59,0.8465753424657534,1.3323170731707317
7839,1,0.17534246575342466,1.3258495145631068
223,29,0.0027397260273972603,1.3194444444444444
6709,4,0.11506849315068493,1.3162650602409638
11463,27,0.8465753424657534,1.3162650602409638
10255,48,0.36712328767123287,1.3162650602409638
2515,2,0.03561643835616438,1.3162650602409638
11125,3,0.6164383561643836,1.3162650602409638
10889,5,0.5972602739726027,1.3162650602409638
10017,21,0.3287671232876712,1.3162650602409638
2869,2,0.0410958904109589,1.3162650602409638
11695,33,0.873972602739726,1.3162650602409638
3909,75,0.06027397260273973,1.3162650602409638
11467,44,0.8465753424657534,1.3005952380952381
1087,1,0.0136986301369863,1.3005952380952381
10021,27,0.3287671232876712,1.3005952380952381
11127,4,0.6164383561643836,1.3005952380952381
8753,7,0.20273972602739726,1.3005952380952381
11697,80,0.873972602739726,1.3005952380952381
2517,20,0.03561643835616438,1.3005952380952381
6341,2,0.09863013698630137,1.3005952380952381
6713,204,0.11506849315068493,1.3005952380952381
10893,11,0.5972602739726027,1.3005952380952381
5053,1,0.07945205479452055,1.3005952380952381
9153,1,0.25205479452054796,1.3005952380952381
9707,1,0.2876712328767123,1.3005952380952381
7871,2,0.17534246575342466,1.3005952380952381
247,1,0.0027397260273972603,1.3005952380952381
10257,24,0.36712328767123287,1.3005952380952381
10025,41,0.3287671232876712,1.285294117647059
11129,10,0.6164383561643836,1.285294117647059
8755,1,0.20273972602739726,1.285294117647059
11471,8,0.8465753424657534,1.285294117647059
10259,21,0.36712328767123287,1.285294117647059
6717,2,0.11506849315068493,1.285294117647059
11699,5,0.873972602739726,1.285294117647059
10575,152,0.4547945205479452,1.285294117647059
2519,23,0.03561643835616438,1.285294117647059
