SPX (S&P 500 INDEX),2731.25,+32.62,
Feb 15 2018 @ 16:16 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 1675.00 (SPX1816B1675),0.0,0.0,1052.10,1063.50,0,0,18 Feb 1675.00 (SPX1816N1675),0.50,0.0,0.0,0.05,0,6082,
18 Feb 1675.00 (SPXW1816B1675),0.0,0.0,1047.40,1059.50,0,0,18 Feb 1675.00 (SPXW1816N1675),0.05,0.0,0.0,0.05,0,3955,
18 Feb 1675.00 (SPX1816B1675-E),0.0,0.0,1052.10,1063.50,0,0,18 Feb 1675.00 (SPX1816N1675-E),0.50,0.0,0.0,0.05,0,6082,
18 Feb 1675.00 (SPXW1816B1675-E),0.0,0.0,1047.40,1059.50,0,0,18 Feb 1675.00 (SPXW1816N1675-E),0.05,0.0,0.0,0.05,0,3955,
18 Feb 1700.00 (SPX1816B1700),0.0,0.0,1027.10,1038.50,0,0,18 Feb 1700.00 (SPX1816N1700),0.05,0.0,0.0,0.05,0,8982,
18 Feb 1700.00 (SPXW1816B1700),870.55,0.0,1022.80,1034.50,0,1,18 Feb 1700.00 (SPXW1816N1700),0.05,0.0,0.0,0.05,0,357,
18 Feb 1700.00 (SPX1816B1700-E),0.0,0.0,1027.10,1038.50,0,0,18 Feb 1700.00 (SPX1816N1700-E),0.05,0.0,0.0,0.05,0,8982,
18 Feb 1700.00 (SPXW1816B1700-E),870.55,0.0,1022.80,1034.50,0,1,18 Feb 1700.00 (SPXW1816N1700-E),0.05,0.0,0.0,0.05,0,357,
18 Feb 1725.00 (SPX1816B1725),0.0,0.0,1002.10,1013.50,0,0,18 Feb 1725.00 (SPX1816N1725),0.75,0.0,0.0,0.05,0,5526,
18 Feb 1725.00 (SPXW1816B1725),0.0,0.0,997.80,1009.50,0,0,18 Feb 1725.00 (SPXW1816N1725),1.50,0.0,0.0,0.05,0,341,
18 Feb 1725.00 (SPX1816B1725-E),0.0,0.0,1002.10,1013.50,0,0,18 Feb 1725.00 (SPX1816N1725-E),0.75,0.0,0.0,0.05,0,5526,
18 Feb 1725.00 (SPXW1816B1725-E),0.0,0.0,997.80,1009.50,0,0,18 Feb 1725.00 (SPXW1816N1725-E),1.50,0.0,0.0,0.05,0,341,
18 Feb 1750.00 (SPX1816B1750),0.0,0.0,977.10,988.50,0,0,18 Feb 1750.00 (SPX1816N1750),0.05,0.0,0.0,0.05,0,5673,
18 Feb 1750.00 (SPXW1816B1750),0.0,0.0,972.80,988.20,0,0,18 Feb 1750.00 (SPXW1816N1750),0.05,0.0,0.0,0.05,0,1061,
18 Feb 1750.00 (SPX1816B1750-E),0.0,0.0,977.10,988.50,0,0,18 Feb 1750.00 (SPX1816N1750-E),0.05,0.0,0.0,0.05,0,5673,
18 Feb 1750.00 (SPXW1816B1750-E),0.0,0.0,972.80,988.20,0,0,18 Feb 1750.00 (SPXW1816N1750-E),0.05,0.0,0.0,0.05,0,1061,
18 Feb 1775.00 (SPX1816B1775),0.0,0.0,952.10,963.50,0,0,18 Feb 1775.00 (SPX1816N1775),0.05,0.0,0.0,0.05,0,10789,
18 Feb 1775.00 (SPXW1816B1775),0.0,0.0,947.40,959.50,0,0,18 Feb 1775.00 (SPXW1816N1775),1.10,0.0,0.0,0.05,0,1115,
18 Feb 1775.00 (SPX1816B1775-E),0.0,0.0,952.10,963.50,0,0,18 Feb 1775.00 (SPX1816N1775-E),0.05,0.0,0.0,0.05,0,10789,
18 Feb 1775.00 (SPXW1816B1775-E),0.0,0.0,947.40,959.50,0,0,18 Feb 1775.00 (SPXW1816N1775-E),1.10,0.0,0.0,0.05,0,1115,
18 Feb 1800.00 (SPX1816B1800),1017.36,0.0,927.10,938.50,0,1,18 Feb 1800.00 (SPX1816N1800),0.05,0.0,0.0,0.05,0,12737,
18 Feb 1800.00 (SPXW1816B1800),778.50,0.0,922.40,934.50,0,1,18 Feb 1800.00 (SPXW1816N1800),0.05,0.0,0.0,0.05,0,372,
18 Feb 1800.00 (SPX1816B1800-E),1017.36,0.0,927.10,938.50,0,1,18 Feb 1800.00 (SPX1816N1800-E),0.05,0.0,0.0,0.05,0,12737,
18 Feb 1800.00 (SPXW1816B1800-E),778.50,0.0,922.40,934.50,0,1,18 Feb 1800.00 (SPXW1816N1800-E),0.05,0.0,0.0,0.05,0,372,
18 Feb 1810.00 (SPX1816B1810),0.0,0.0,917.10,928.50,0,0,18 Feb 1810.00 (SPX1816N1810),0.60,0.0,0.0,0.10,0,2012,
18 Feb 1810.00 (SPXW1816B1810),0.0,0.0,912.40,924.50,0,0,18 Feb 1810.00 (SPXW1816N1810),0.50,0.0,0.0,0.05,0,122,
18 Feb 1810.00 (SPX1816B1810-E),0.0,0.0,917.10,928.50,0,0,18 Feb 1810.00 (SPX1816N1810-E),0.60,0.0,0.0,0.10,0,2012,
18 Feb 1810.00 (SPXW1816B1810-E),0.0,0.0,912.40,924.50,0,0,18 Feb 1810.00 (SPXW1816N1810-E),0.50,0.0,0.0,0.05,0,122,
18 Feb 1820.00 (SPX1816B1820),0.0,0.0,907.10,918.50,0,0,18 Feb 1820.00 (SPX1816N1820),0.65,0.0,0.0,0.10,0,1979,
18 Feb 1820.00 (SPXW1816B1820),0.0,0.0,902.40,914.50,0,0,18 Feb 1820.00 (SPXW1816N1820),2.50,0.0,0.0,0.05,0,298,
18 Feb 1820.00 (SPX1816B1820-E),0.0,0.0,907.10,918.50,0,0,18 Feb 1820.00 (SPX1816N1820-E),0.65,0.0,0.0,0.10,0,1979,
18 Feb 1820.00 (SPXW1816B1820-E),0.0,0.0,902.40,914.50,0,0,18 Feb 1820.00 (SPXW1816N1820-E),2.50,0.0,0.0,0.05,0,298,
18 Feb 1825.00 (SPX1816B1825),0.0,0.0,902.10,913.50,0,0,18 Feb 1825.00 (SPX1816N1825),1.50,0.0,0.0,0.10,0,1338,
18 Feb 1825.00 (SPXW1816B1825),839.80,0.0,897.40,909.50,0,0,18 Feb 1825.00 (SPXW1816N1825),0.10,0.0,0.0,0.05,0,543,
18 Feb 1825.00 (SPX1816B1825-E),0.0,0.0,902.10,913.50,0,0,18 Feb 1825.00 (SPX1816N1825-E),1.50,0.0,0.0,0.10,0,1338,
18 Feb 1825.00 (SPXW1816B1825-E),839.80,0.0,897.40,909.50,0,0,18 Feb 1825.00 (SPXW1816N1825-E),0.10,0.0,0.0,0.05,0,543,
18 Feb 1830.00 (SPX1816B1830),0.0,0.0,897.10,908.50,0,0,18 Feb 1830.00 (SPX1816N1830),1.70,0.0,0.0,0.10,0,1558,
18 Feb 1830.00 (SPXW1816B1830),0.0,0.0,892.40,904.50,0,0,18 Feb 1830.00 (SPXW1816N1830),4.00,0.0,0.0,0.05,0,462,
18 Feb 1830.00 (SPX1816B1830-E),0.0,0.0,897.10,908.50,0,0,18 Feb 1830.00 (SPX1816N1830-E),1.70,0.0,0.0,0.10,0,1558,
18 Feb 1830.00 (SPXW1816B1830-E),0.0,0.0,892.40,904.50,0,0,18 Feb 1830.00 (SPXW1816N1830-E),4.00,0.0,0.0,0.05,0,462,
18 Feb 1840.00 (SPX1816B1840),879.45,0.0,887.10,898.50,0,2,18 Feb 1840.00 (SPX1816N1840),1.00,0.0,0.0,0.10,0,1881,
